site_id	site_name	elevation	mean_annual_temp	annual_precipitation	soil_type	soil_pH	soil_organic_carbon	land_cover	forest_type	protected_area	years_since_disturbance	disturbance_type	climate_zone	sos	eos	los	ndvi_max	productivity	productivity_class	species_richness	aboveground_carbon	phenology_class	longitude	latitude
SITE_0001	Alpine_North	2485	5.7957050888	844.8229213895	Silty	5.6189266783	4.7073663571	Shrubland	Broadleaf	TRUE	39	None	Mediterranean	74	239	165	0.9261678347	31.0479482023	high	20	147.1427706641	late	10.98555	47.385135
SITE_0002	Alpine_South	2466	3.855717341	1102.9987781951	Loamy	6.5310458641	1.3485396804	Shrubland	NA	FALSE	1	Logging	Mountain	72	268	196	0.7497638719	21.7117976184	medium	7	77.5715708059	medium	11.576279	46.498295
SITE_0003	Boreal_1	2258	3.8771470585	1099.9123079143	Clay	7.0820453279	1.1333872	Grassland	Mixed	FALSE	95	None	Mountain	106	267	161	0.6098892753	-10.538164758	NA	7	82.9001417559	medium	27.56667	68
SITE_0004	Boreal_2	1356	6.9295734912	872.3044139749	Peaty	5.3585399094	3.0231293587	Mixed_Forest	Broadleaf	FALSE	54	None	Boreal	98	237	139	0.6079355888	17.7708314922	low	12	92.2923292879	late	18.25	65.58333
SITE_0005	Continental_Central	1583	8.7358555146	981.1311718868	Loamy	6.137282223	3.8559282838	Forest	NA	FALSE	45	Insect	Boreal	101	257	156	0.9224897953	24.6609284873	medium	14	145.3934996921	late	12.373075	51.339695
SITE_0006	Continental_East	669	8.0042848402	702.5672526602	Sandy	4.8980168332	3.2748941828	Forest	NA	FALSE	86	Fire	Mountain	82	262	180	0.8565183482	27.5806804492	medium	25	108.6119063553	early	25.598198	48.22044
SITE_0007	Mediterranean_Coast	202	12.3885100234	516.2038589656	Peaty	7.1977693427	4.1645839377	Shrubland	NA	FALSE	11	Insect	Temperate	51	263	212	0.7094440832	15.3491512659	low	11	78.3792909316	very_late	3.126695	42.514456
SITE_0008	Mediterranean_Inland	235	6.1104338527	754.4474479833	Silty	6.6286937767	3.5950333752	Forest	NA	FALSE	42	None	Mediterranean	79	354	275	0.7607950498	23.6895154606	medium	12	95.1536063309	early	-4.779383	37.88336
SITE_0009	Atlantic_North	552	11.1662611588	557.1060014485	Silty	7.2860520543	1.0621797065	Shrubland	NA	FALSE	72	Storm	Mediterranean	95	309	214	0.7250415178	22.366763819	medium	16	59.4086637893	late	-9.139337	53.274059
SITE_0010	Atlantic_South	294	8.3120599218	236.5369018768	Sandy	7.0826196349	3.0720282481	Forest	Coniferous	TRUE	3	Fire	Temperate	33	190	157	0.7079988973	16.6436392601	low	11	87.2913691893	very_late	-8.5441	42.878212
SITE_0011	Mountain_Valley	69	15.6475612933	359.7590104727	Peaty	4.5528420385	0.8234333809	Grassland	Mixed	FALSE	10	Logging	Mountain	43	303	260	0.7012626854	29.5635649134	medium	12	113.6415780288	very_late	-1.588	42.648
SITE_0012	Mountain_Ridge	42	15.3992725932	366.0064736787	Clay	4.8919442624	3.4133030684	Mixed_Forest	Coniferous	TRUE	26	None	Temperate	78	229	151	0.6594822023	25.6387070019	medium	18	97.9645842467	medium	8.403652	46.850857
SITE_0013	Forest_Plateau	44	14.395411851	409.5349530158	Sandy	6.2722562689	4.7041934432	Forest	NA	FALSE	68	Fire	Boreal	134	325	191	0.8324148677	18.8675074655	low	17	61.4311347753	early	23.31369	47.222531
SITE_0014	River_Basin	38	17.5120500801	423.0219587754	Loamy	6.7497258154	0.5314099458	Mixed_Forest	NA	FALSE	52	None	Temperate	104	282	178	0.8414158841	17.0601687964	low	7	99.5887062573	very_late	19.0514	47.4925
SITE_0015	Coastal_Plain	97	18.3281589023	320.3477659674	Clay	6.1324406401	3.8038893039	Forest	Broadleaf	FALSE	62	Fire	Mountain	89	226	137	0.7389596737	31.1675337314	high	23	27.6971485167	early	-2.9625	43.32137
