"tree_species","insect_species","fungi_strain","site","year","interaction_id","temperature","humidity","tree_dbh","tree_height","tree_health","insect_size_base","insect_size","insect_resistance_base","insect_resistance","fungus_growth_base","fungus_growth","fungus_virulence_base","fungus_virulence","tree_damage","infection_success","vector_efficiency","tree_defense_response","observation_date","observer_id"
"Tree_E","Insect_E","Fungi_2","SITE_0012",2023,1,21.9489420594204,95,42.0323754134481,31.7327221327146,0.71060982493218,14,17.2369302194517,0.6,0.611331495751613,15,30.5029531369186,0.6,0.616138779597121,0.0462493424374109,0,6.63782775506316,1.06917919908844,2023-07-05,"OBSV_1819"
"Tree_A","Insect_C","Fungi_1","SITE_0015",2019,2,11.149968439788,64.8236365169042,21.1764810741122,15.2542476799613,0.537042809673585,18,16.0776036378933,0.5,0.538235139170693,12,13.7376474893241,0.8,0.789002443083272,0.167811038898538,0,6.97879590867344,0.495310230483597,2019-05-03,"OBSV_1304"
"Tree_A","Insect_A","Fungi_2","SITE_0004",2021,3,3.26156581633979,70.3382197911302,30.9477538022389,23.7078517468771,0.356739012547769,15,12.9169714212129,0.7,0.640476707228634,15,18.1974184681257,0.6,0.42374114016954,0.00506189388449653,0,4.55300803832443,0.638745774635077,2021-05-27,"OBSV_1003"
"Tree_D","Insect_B","Fungi_1","SITE_0004",2023,4,4.44394387485286,31.3079692555883,14.4858238844516,12.6468149773003,0.463702671183273,12,8.96541319919267,0.9,0.90379642858407,12,2.64275605234306,0.8,0.737103246836709,0.0969096744360732,0,1.07440596086591,0.162201498665752,2023-06-21,"OBSV_1249"
"Tree_A","Insect_C","Fungi_3","SITE_0007",2022,5,5.52167612098367,77.0054812079798,25.0143196028054,13.4463640800976,0.365988441952504,18,14.5862041202762,0.5,0.559503331918479,10,16.2374229374139,0.9,0.651943741437362,0,0,6.28655953079943,0.387096818383675,2022-06-04,"OBSV_1245"
"Tree_A","Insect_E","Fungi_2","SITE_0005",2019,6,2.85833142137961,54.5719855499872,28.2746322307491,17.6054764333776,0.497583333682269,14,10.9540146495366,0.6,0.589891562434726,15,9.54802675454901,0.6,0.450017542136062,0.11078341187016,0,4.22236620226844,0.165303819458806,2019-07-04,"OBSV_1919"
"Tree_E","Insect_D","Fungi_4","SITE_0010",2019,7,-0.151074910272825,43.7931793986914,47.4080343584673,36.8914128343988,0.495055272011086,10,8.54898905677418,0.8,0.931705869806642,18,9.85167690448079,0.5,0.285548153861895,0.0737700960116128,0,0.222520961711081,0.995831997176062,2019-07-27,"OBSV_1046"
"Tree_A","Insect_E","Fungi_4","SITE_0010",2019,8,31.8374696167137,80.1799360125565,43.6817347794747,32.7656983527538,0.417686246731318,14,20.0066364138097,0.6,0.689903259761739,18,28.1055546795897,0.5,0.538358504700942,0.0347813478430492,0,5.7502564218616,0.290125473416756,2019-09-25,"OBSV_1302"
"Tree_C","Insect_C","Fungi_1","SITE_0008",2021,9,11.3982856435145,57.9461577131564,36.7034349382021,24.4933428862708,0.969513906352222,18,15.5185422565958,0.5,0.540805974904736,12,8.77901631287157,0.8,0.746145537460589,0.31298443713224,1,7.30076666133098,1.22420204845494,2021-04-13,"OBSV_1610"
"Tree_A","Insect_D","Fungi_4","SITE_0004",2020,10,1.44844431840352,94.2131599746793,48.1427654878394,37.3090587141097,0.971617903816514,10,7.73597610039319,0.8,0.93857873474934,18,35.3037786866742,0.5,0.156696145169945,0,0,0.574328602280062,0.827654940735369,2020-05-24,"OBSV_1333"
"Tree_C","Insect_C","Fungi_2","SITE_0010",2022,11,20.3994665621072,90.5588424087083,24.1846008627601,15.566515492079,0.951882797782309,18,16.4668835245971,0.5,0.47172386980827,15,29.257511898182,0.6,0.719258632701289,0.262519098780287,0,8.74202014061178,0.527318348690671,2022-09-02,"OBSV_1578"
"Tree_A","Insect_E","Fungi_3","SITE_0008",2021,12,25.3481382195138,71.4862929321987,19.413121560868,12.5907766273649,0.997490418306552,14,15.9742367692943,0.6,0.279581519004842,10,13.0011695695484,0.9,0.935483321493078,0.64230484743691,1,11.3136013413231,0.201535262609434,2021-08-02,"OBSV_1794"
"Tree_B","Insect_D","Fungi_1","SITE_0006",2018,13,13.0001107555089,56.2484470368904,41.7033602627841,29.8029035067205,0.456648761313409,10,8.37811826648091,0.8,0.789821815281511,12,12.8599740073081,0.8,0.774694515529811,0.0919529771784641,0,1.437435453792,0.2947714034099,2018-06-27,"OBSV_1874"
